,School1,School2,Year,Distance,popDiff,perfDiff
40,Garden Fields Junior Mixed and Infant School,Aboyne Lodge Junior Mixed and Infant School,2020,1036.7960262269528,-0.18888888888888888,2.116558671071374
41,How Wood Primary and Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,3899.0280840229916,0.033333333333333326,-2.2253184818254437
42,Killigrew Primary and Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,2820.017730440715,0.016666666666666607,3.079970728747217
43,London Colney Primary & Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,4398.172461375292,-0.30000000000000004,-0.6690492319926191
44,Mandeville Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,1994.000250752241,0.15000000000000002,-0.5697065101379852
45,Maple Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,462.61214856508036,0.9,3.937883278571629
46,Margaret Wix Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,1779.2762573585924,-0.5333333333333334,0.25388513271971036
47,Oakwood Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,2608.427303951559,0.16666666666666663,1.2017085477315788
48,Park Street Church of England Voluntary Aided Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,3929.6058326503944,-0.33333333333333337,2.430751430310911
49,Prae Wood Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,1769.0477664551627,0.06666666666666665,1.5345516534518975
50,St Bernadette Catholic Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,4734.269214989786,0.33333333333333337,-0.6675108577870321
51,Samuel Ryder Academy,Aboyne Lodge Junior Mixed and Infant School,2020,2627.5465742779897,0.21666666666666667,-1.1478276231494013
52,Sandridge School,Aboyne Lodge Junior Mixed and Infant School,2020,4041.376621895069,-0.43333333333333335,-0.025485085330069768
53,Skyswood Primary & Nursery School,Aboyne Lodge Junior Mixed and Infant School,2020,2864.2290411208387,0.7666666666666667,4.681927257728098
54,St Adrian Roman Catholic Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,1897.49413701334,0.16666666666666663,3.9062852885324015
55,St John Fisher Roman Catholic Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,2658.1950643246632,-0.6666666666666667,1.0523357833836242
56,"St Michael's Church of England Voluntary Aided Primary School, St Albans",Aboyne Lodge Junior Mixed and Infant School,2020,1188.1700215036567,0.2666666666666667,3.8298934364712
57,St Peter's School,Aboyne Lodge Junior Mixed and Infant School,2020,936.2718622280603,0.8666666666666666,3.346579440257654
58,Wheatfields Junior Mixed School,Aboyne Lodge Junior Mixed and Infant School,2020,2529.64226719906,0.0,1.9578368749386705
59,Windermere Primary School,Aboyne Lodge Junior Mixed and Infant School,2020,2434.5309609861197,-0.033333333333333326,-3.225531138826695
60,Grove Junior School,Aboyne Lodge Junior Mixed and Infant School,2020,5927.345527299721,-0.04444444444444451,2.747781429937528
61,"Abbey Church of England Voluntary Aided Primary School, St Albans",Alban City School,2020,952.857806810649,0.28333333333333344,2.5143064722622905
62,Aboyne Lodge Junior Mixed and Infant School,Alban City School,2020,319.4526568992658,0.15000000000000002,0.6628157703570816
