,Full Name,PAN,APP,ALLO,NOT_DIST,NEAR,DIST,TOTAL,MAX_DIST_NS,MAX_DIST_DIST,P1,P2,P3,P4,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Latitude,Longitude,Easting,Northing,within_500m,within_1km,within_2km,within_3km,within_5km,Grade,P1/plc,PAN_bin
221,Sandridge School,30,66,28,9.0,8.0,10.0,28.0,694.05,4087.25,21.0,13.0,18.0,14.0,2019,117148,0.76,0.14,0.8,-0.2,0.8,107,107,106,51.780439,-0.296819,517592,210458,0,0,3,5,27,2.0,0.7,30
222,Skyswood Primary & Nursery School,30,186,30,15.0,15.0,0.0,30.0,423.8,0.0,58.0,64.0,46.0,18.0,2019,117240,0.81,0.31,4.3,2.1,3.3,110,109,109,51.767228,-0.302137,517259,208980,1,2,6,15,28,1.0,1.9333333333333333,30
223,St Adrian's RC Primary School & Nursery **,30,61,30,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,11.0,8.0,2019,117470,0.9,0.26,4.6,1.3,4.2,110,113,109,51.73829,-0.34381,514457,205696,1,1,8,18,27,2.0,1.1,30
224,St John Fisher Catholic Primary School **,30,49,30,0.0,0.0,3.0,0.0,0.0,0.0,14.0,9.0,13.0,12.0,2019,117480,0.6,0.17,2.1,-2.9,0.3,109,107,106,51.766476,-0.304875,517072,208892,1,2,6,15,28,2.0,0.4666666666666667,30
225,St Michael's C of E VA Primary (St Albans) **,30,58,22,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,17.0,22.0,2019,117451,0.81,0.05,1.4,-0.6,-0.5,108,107,105,51.753332,-0.355684,513599,207350,0,1,8,14,24,2.0,0.8,30
226,St Peter's School (St Albans),30,155,30,30.0,0.0,0.0,301.73,0.0,0.0,51.0,58.0,41.0,19.0,2019,117140,0.77,0.17,3.8,0.4,1.9,110,109,108,51.746893,-0.335368,515018,206666,1,3,15,19,28,2.0,1.7,30
227,Wheatfields Infants' & Nursery School,90,192,90,58.0,31.0,0.0,901.35,3186.32,0.0,71.0,67.0,35.0,27.0,2019,117212,0.82,0.18,-0.3,-1,-0.9,108,108,107,51.770285,-0.311486,516606,209305,0,2,6,15,27,2.0,0.7888888888888889,>60
228,Windermere JMI School,30,144,30,21.0,8.0,0.0,772.16,4913.82,0.0,20.0,37.0,31.0,30.0,2019,117217,0.76,0.07,0.3,0.8,-1.1,107,107,105,51.744018,-0.308251,516897,206389,2,4,7,20,31,2.0,0.6666666666666666,30
229,St Ippolyts C of E (Aided) Primary School **,20,39,29,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,4.0,9.0,2019,117440,0.71,0.08,1,0.8,-3.5,108,106,102,51.930793,-0.258218,519855,227242,0,0,4,8,19,2.0,1.35,<30
230,St Andrew's C of E (V C) Primary (S.Abbotts),30,73,30,23.0,7.0,0.0,1673.2,5779.0,0.0,25.0,25.0,9.0,12.0,2019,117407,0.59,0.14,-2.2,-2.9,-1.9,106,106,105,51.788723,0.009544,538699,211917,0,0,2,4,21,2.0,0.8333333333333334,30
231,Stapleford Primary School **,12,17,8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,4.0,2019,117455,0.44,0,1,-2.1,-0.8,105,103,102,51.835837,-0.097715,531165,216958,0,0,0,2,13,2.0,0.4166666666666667,<30
232,Ardeley St Lawrence Primary School and Nursery **,15,30,15,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,3.0,2.0,2019,117420,0.29,0,-1.8,1.1,-3.6,101,101,98,51.926974,-0.098416,530852,227092,0,0,0,1,3,2.0,0.8,<30
233,Ashtree Primary School & Nursery,60,117,56,30.0,8.0,1.0,695.89,4303.25,0.0,36.0,28.0,29.0,13.0,2019,117352,0.59,0.05,-1.8,-0.1,-2.7,104,105,102,51.896928,-0.165033,526356,223633,1,2,12,17,26,3.0,0.6,60
234,Aston St Mary's C of E (Aided) Primary School **,18,81,18,0.0,0.0,0.0,18.0,0.0,0.0,23.0,28.0,19.0,11.0,2019,117421,1,0.43,4.7,3.2,4,112,110,111,51.890266,-0.150147,527399,222918,0,0,5,13,28,1.0,1.2777777777777777,<30
235,Bedwell Primary School & Nursery,45,78,23,12.0,0.0,11.0,23.0,0.0,2661.65,20.0,23.0,21.0,14.0,2019,117200,0.33,0.06,-2,0.4,-1.7,101,103,100,51.905769,-0.182568,525125,224586,0,4,14,21,26,3.0,0.4444444444444444,31-59
236,Benington C of E Primary School,16,36,15,6.0,9.0,0.0,15.0,1336.77,0.0,16.0,9.0,3.0,8.0,2019,117389,0.94,0.06,0.1,0.7,-0.6,108,109,107,51.898484,-0.113326,529909,223897,0,0,0,2,17,2.0,1.0,<30
237,Broom Barns Primary School,30,84,30,13.0,9.0,8.0,30.0,734.02,1532.33,33.0,22.0,15.0,14.0,2019,117189,0.6,0.1,-2,0.3,-1.5,104,106,107,51.900646,-0.193226,524406,223998,0,3,14,19,26,2.0,1.1,30
238,Camps Hill Primary School *,60,139,60,0.0,0.0,0.0,60.0,0.0,0.0,58.0,33.0,26.0,22.0,2019,143786,0.64,0.03,1.6,0.4,0.4,105,106,103,51.907949,-0.168872,526061,224852,1,3,12,22,26,2.0,0.9666666666666667,60
239,Fairlands Primary School,90,154,81,40.0,14.0,21.0,81.0,706.95,4844.36,68.0,33.0,32.0,21.0,2019,143785,0.48,0.02,0.7,-0.9,-0.6,104,104,102,51.90894,-0.20339,523684,224903,0,1,8,19,25,2.0,0.7555555555555555,>60
240,Featherstone Wood Primary School and Nursery,30,71,30,17.0,4.0,9.0,30.0,540.87,2051.33,30.0,18.0,11.0,12.0,2019,131505,0.46,0.04,-3.2,-1.2,-2.3,101,101,102,51.893622,-0.167522,526194,223261,1,2,13,16,27,2.0,1.0,30
241,Giles Nursery and Infant's School,90,191,90,39.0,14.0,37.0,90.0,466.13,9863.3,80.0,55.0,33.0,23.0,2019,117306,0.54,0.07,-2.1,0,-2.5,104,105,102,51.921862,-0.182965,525053,226375,1,4,10,15,26,2.0,0.8888888888888888,>60
242,Leys Primary & Nursery School (The),75,99,46,26.0,11.0,6.0,44.0,377.14,2839.17,42.0,25.0,19.0,13.0,2019,117364,0.64,0.12,-0.1,-2.3,-0.8,105,104,104,51.926729,-0.180223,525228,226921,0,3,6,12,26,2.0,0.56,>60
243,Lodge Farm Primary School,60,143,60,27.0,7.0,26.0,60.0,936.08,4163.7,57.0,48.0,21.0,17.0,2019,132091,0.6,0.08,-1.8,-1.8,-3.2,104,106,102,51.909921,-0.169068,526042,225071,1,2,12,21,25,2.0,0.95,60
244,Longmeadow Primary School,60,81,33,17.0,9.0,5.0,33.0,577.48,2133.39,30.0,18.0,17.0,16.0,2019,135083,0.56,0.06,-2.3,0.3,-1,103,104,104,51.883335,-0.171573,525944,222110,1,1,8,15,27,2.0,0.5,60
245,Martins Wood Primary School,90,171,90,33.0,24.0,33.0,90.0,714.81,33041.94,83.0,24.0,37.0,27.0,2019,117285,0.55,0.09,-1.1,-2.5,-0.9,103,106,103,51.919479,-0.173653,525700,226126,0,4,10,15,27,2.0,0.9222222222222223,>60
246,Moss Bury Primary School & Nursery,45,122,34,14.0,3.0,15.0,35.0,536.93,2822.33,31.0,28.0,38.0,25.0,2019,117269,0.65,0.1,0.9,0.6,2.1,105,108,105,51.913089,-0.181414,525184,225402,0,6,13,19,26,2.0,0.6888888888888889,31-59
247,Peartree Spring Primary School (Stevenage),90,181,90,41.0,23.0,26.0,90.0,635.11,4312.89,91.0,35.0,32.0,23.0,2019,117206,0.63,0.06,-2.8,-0.3,-1.9,103,103,104,51.892519,-0.175928,525619,223124,0,4,13,16,27,2.0,1.011111111111111,>60
248,Roebuck Primary School and Nursery,60,124,60,31.0,13.0,13.0,60.0,547.29,2670.76,52.0,36.0,25.0,11.0,2019,144419,0.65,0.13,-0.2,0.9,-1,105,105,103,51.88771,-0.187612,524828,222569,1,3,8,16,25,2.0,0.8666666666666667,60
249,Round Diamond Primary School,60,210,60,27.0,33.0,0.0,60.0,742.16,0.0,90.0,58.0,39.0,23.0,2019,117299,0.73,0.21,-0.1,-0.9,1.8,107,110,108,51.929812,-0.170848,525864,227280,0,1,5,10,25,1.0,1.5,60
250,Shephalbury Park Primary School,30,98,30,17.0,6.0,7.0,30.0,742.65,542.22,34.0,34.0,19.0,11.0,2019,135084,0.7,0.11,1.1,0.9,0.4,105,105,103,51.882975,-0.176208,525626,222062,1,2,8,14,26,2.0,1.1333333333333333,30
251,St Margaret Clitherow Roman Catholic Primary School **,30,94,30,0.0,0.0,0.0,30.0,0.0,0.0,41.0,35.0,13.0,5.0,2019,117474,0.7,0.1,2,-2.4,1.2,109,111,108,51.88973,-0.192036,524518,222786,1,1,9,17,25,1.0,1.3666666666666667,30
252,St Nicholas C of E Primary School & Nursery (Stevenage) **,30,83,30,0.0,0.0,0.0,30.0,0.0,0.0,30.0,26.0,13.0,14.0,2019,117456,0.45,0.07,-1.2,-2.1,-3,104,104,101,51.898325,-0.185557,524940,223753,0,4,14,20,27,2.0,1.0,30
253,St Vincent de Paul Catholic Primary School **,60,100,60,0.0,0.0,0.0,60.0,0.0,0.0,57.0,25.0,10.0,8.0,2019,117498,0.62,0.07,-2.1,-3.5,-3.8,105,106,103,51.905769,-0.182568,525125,224586,0,4,14,21,26,2.0,0.95,60
254,Trotts Hill Primary and Nursery School,30,117,30,12.0,15.0,3.0,30.0,562.84,1027.87,34.0,30.0,30.0,23.0,2019,117292,0.73,0.2,1.6,2.4,2.3,106,109,106,51.918516,-0.186997,524785,225996,1,4,11,17,26,2.0,1.1333333333333333,30
255,Woolenwick Infant & Nursery School,60,151,60,34.0,26.0,0.0,60.0,606.58,0.0,86.0,27.0,23.0,15.0,2019,117322,0.44,0.09,-4,-2.7,-3.3,101,102,101,51.909291,-0.215268,522866,224922,0,1,3,11,26,3.0,1.4333333333333333,60
256,Tewin Cowper C of E VA Primary School **,25,54,25,0.0,0.0,0.0,25.0,0.0,0.0,21.0,12.0,9.0,12.0,2019,117457,0.89,0.05,0.4,-2.8,-2.6,109,107,105,51.815083,-0.155882,527216,214547,0,0,2,5,24,2.0,0.84,<30
257,Gaddesden Row JMI School,8,18,8,4.0,1.0,2.0,8.0,2175.5,5928.75,6.0,3.0,5.0,4.0,2019,117101,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,51.806113,-0.479188,504952,213035,0,0,0,1,11,2.0,0.75,<30
258,Great Gaddesden C of E Primary School **,13,32,16,0.0,0.0,0.0,16.0,0.0,0.0,12.0,10.0,6.0,4.0,2019,117433,0.6,0,-1.1,-1.2,-1.2,105,104,103,51.79078,-0.509167,502920,211287,0,0,0,2,18,2.0,0.9230769230769231,<30
259,Little Gaddesden C of E VA Primary School **,15,36,15,0.0,0.0,0.0,15.0,0.0,0.0,22.0,9.0,3.0,2.0,2019,117443,0.92,0.15,0.5,1.1,0.7,109,110,108,51.811707,-0.559994,499369,213544,0,0,0,0,3,1.0,1.4666666666666666,<30
260,Thundridge Primary School,15,27,9,2.0,0.0,7.0,9.0,0.0,6900.33,8.0,9.0,4.0,6.0,2019,117408,0.7,0.2,0.4,-0.6,-1.7,108,109,104,51.837894,-0.028795,535907,217313,0,0,2,8,13,2.0,0.5333333333333333,<30
261,Tonwell St Mary's C of E Primary School,8,12,7,5.0,2.0,0.0,7.0,263.15,0.0,7.0,2.0,1.0,2.0,2019,117388,0.5,0,-0.9,-0.3,-3,104,105,101,51.83769,-0.06579,533359,217222,0,0,0,2,19,3.0,0.875,<30
262,Dundale Primary & Nursery School,30,60,30,17.0,5.0,7.0,30.0,582.6,5127.85,25.0,14.0,19.0,2.0,2019,117286,0.37,0.17,-1.1,-2.4,-2.9,104,101,101,51.799957,-0.661315,492408,212104,0,2,2,3,5,2.0,0.8333333333333334,30
263,Grove Road Primary School,60,129,60,26.0,20.0,14.0,60.0,2207.45,1294.7,59.0,43.0,21.0,6.0,2019,145255,0.77,0.12,0.5,-0.4,-1.2,108,108,105,51.802624,-0.650025,493181,212415,0,1,2,3,5,2.0,0.9833333333333333,60
264,Longlands Primary School & Nursery,30,103,30,11.0,19.0,0.0,30.0,390.57,0.0,46.0,28.0,18.0,11.0,2019,117326,0.8,0.27,3.9,2,6.3,109,108,111,51.723401,-0.025352,536489,204587,0,1,3,12,25,1.0,1.5333333333333334,30
265,Walkern Primary School,25,57,23,9.0,5.0,9.0,23.0,754.16,3390.53,20.0,16.0,12.0,9.0,2019,117154,0.75,0.33,-4.8,-1.3,-0.9,104,108,108,51.916833,-0.12829,528827,225911,0,0,0,4,20,3.0,0.8,<30
266,Four Swannes Primary School,30,57,26,8.0,12.0,5.0,26.0,477.33,9781.94,23.0,19.0,10.0,4.0,2019,117092,0.54,0.04,-2.2,-0.1,0.7,101,108,103,51.687937,-0.030646,536230,200633,1,4,6,11,17,3.0,0.7666666666666667,30
267,Goffs Oak Primary & Nursery School,30,144,30,15.0,13.0,2.0,30.0,1363.61,518.04,42.0,42.0,40.0,20.0,2019,117243,0.72,0.08,-0.5,-1.1,-2.8,107,107,103,51.713782,-0.093577,531805,203392,0,1,2,8,19,2.0,1.4,30
268,Holdbrook Primary School,30,44,23,13.0,8.0,1.0,23.0,640.36,415.91,20.0,10.0,10.0,4.0,2019,117091,0.61,0.11,0.7,1.3,3,102,104,104,51.68367,-0.019906,536985,200179,0,1,5,8,16,3.0,0.6666666666666666,30
269,Holy Trinity Church of England Primary School **,30,73,30,0.0,0.0,0.0,30.0,0.0,0.0,28.0,23.0,14.0,8.0,2019,117428,0.54,0.04,-2.1,-0.8,-0.4,102,103,103,51.695006,-0.034984,535909,201411,0,3,10,15,19,2.0,0.9333333333333333,30
270,Hurst Drive Primary School,60,115,60,22.0,24.0,14.0,60.0,584.25,1167.29,68.0,17.0,21.0,9.0,2019,117180,0.69,0.08,-1.4,2.2,2.1,103,108,106,51.685238,-0.039168,535649,200317,0,1,5,11,18,2.0,1.1333333333333333,60
271,_St_Joseph's Catholic Primary School,30,64,19,0.0,0.0,0.0,19.0,0.0,0.0,18.0,26.0,9.0,11.0,2019,117429,0.58,0.1,-3.3,-4.4,-3.9,103,103,101,51.691528,-0.02784,536413,201038,1,3,7,12,17,2.0,0.6,30
272,Christ Church (C of E) VA Primary & Nursery (Ware) **,45,151,45,0.0,0.0,0.0,45.0,0.0,0.0,60.0,39.0,34.0,18.0,2019,117473,0.78,0.02,1.2,1.8,-1.4,107,107,104,51.811423,-0.027281,536091,214372,1,3,6,9,23,2.0,1.3333333333333333,31-59
273,Larkspur Academy,30,24,19,6.0,3.0,3.0,19.0,746.73,16259.56,10.0,5.0,5.0,4.0,2019,146359,,,,,,,,,51.81666,-0.023744,536319,214961,0,3,5,9,19,4.0,0.3333333333333333,30
274,Larkspur Academy,30,24,19,6.0,3.0,3.0,19.0,746.73,16259.56,10.0,5.0,5.0,4.0,2019,146359,0.48,0.05,0.3,-0.8,0.5,102,99,102,51.81666,-0.023744,536319,214961,0,3,5,9,19,4.0,0.3333333333333333,30
275,Priors Wood Primary School,30,94,30,13.0,7.0,10.0,30.0,665.78,1040.28,30.0,15.0,24.0,25.0,2019,117271,0.38,0.1,-1.3,-6.6,-5.1,104,103,100,51.817244,-0.013591,537017,215045,0,2,5,9,22,2.0,1.0,30
276,Sacred Heart Catholic Primary (Ware) **,30,74,30,0.0,0.0,0.0,30.0,0.0,0.0,29.0,21.0,13.0,11.0,2019,117493,0.69,0.21,0.1,2.1,-0.3,106,109,105,51.808692,-0.032811,535718,214058,1,2,7,9,25,2.0,0.9666666666666667,30
277,St Catherine's (C of E) Primary School,60,153,61,21.0,14.0,26.0,61.0,744.34,4323.85,47.0,41.0,41.0,24.0,2019,117410,0.77,0.16,0.1,0.3,0.1,107,108,106,51.813709,-0.042473,535037,214598,0,1,6,10,25,2.0,0.7833333333333333,60
278,Wareside C of E Primary School,8,10,5,3.0,1.0,1.0,5.0,700.86,2329.61,5.0,1.0,2.0,2.0,2019,117412,0.43,0,1.7,-1.3,-5.2,108,104,100,51.820223,0.018462,539217,215437,0,0,0,5,14,2.0,0.625,<30
279,Alban Wood Primary School and Nursery *,30,160,30,0.0,0.0,0.0,30.0,0.0,0.0,43.0,42.0,43.0,32.0,2019,144907,0.77,0.16,-2.2,1,-0.8,105,107,106,51.697218,-0.400333,510654,201041,0,1,9,15,28,1.0,1.4333333333333333,30
280,Ascot Road Community Free School *,60,116,57,0.0,0.0,0.0,57.0,0.0,0.0,43.0,29.0,19.0,25.0,2019,140956,,,,,,,,,51.648263,-0.423363,509180,195562,1,2,8,17,42,2.0,0.7166666666666667,60
281,Beechfield School *,60,140,57,23.0,3.0,25.0,57.0,765.43,1806.9,34.0,34.0,34.0,38.0,2019,145350,0.47,0.14,1.6,3.9,1.1,103,103,102,51.676005,-0.407075,510240,198672,0,4,11,20,36,2.0,0.5666666666666667,60
282,Bromet Primary School *,40,153,40,0.0,0.0,0.0,40.0,0.0,0.0,36.0,50.0,34.0,33.0,2019,144908,0.75,0.15,1.9,2.4,2.7,106,107,106,51.641696,-0.388096,511636,194885,0,1,12,22,35,2.0,0.9,31-59
283,Cassiobury Infant & Nursery School,90,308,90,44.0,15.0,31.0,90.0,826.22,1411.21,89.0,106.0,67.0,46.0,2019,117167,0.78,0.19,-0.6,-0.1,-0.5,108,110,108,51.666895,-0.422109,509222,197636,0,1,8,20,38,1.0,0.9888888888888889,>60
284,Central Primary School,60,154,59,24.0,17.0,13.0,59.0,814.54,3935.42,46.0,38.0,37.0,33.0,2019,117156,0.71,0.13,2.9,5.4,1.5,106,109,104,51.65582,-0.391801,511345,196450,1,3,10,20,42,2.0,0.7666666666666667,60
285,Chater Infant School,60,187,60,33.0,25.0,2.0,60.0,541.4,429.47,68.0,47.0,34.0,38.0,2019,117158,0.65,0.07,-1.1,2,0.7,103,107,104,51.653832,-0.402945,510579,196212,0,4,11,21,43,1.0,1.1333333333333333,60
286,Cherry Tree Primary School *,60,167,53,29.0,8.0,16.0,53.0,369.22,3652.12,46.0,35.0,43.0,43.0,2019,145353,0.68,0.08,-0.1,-0.5,0.7,105,107,105,51.681588,-0.40411,510431,199297,0,3,10,20,35,2.0,0.7666666666666667,60
287,Coates Way JMI and Nursery School,30,85,30,8.0,13.0,8.0,30.0,725.09,3610.46,24.0,31.0,13.0,17.0,2019,117340,0.81,0.16,1.8,1,0.1,108,108,106,51.694673,-0.379283,512115,200790,1,1,4,10,28,2.0,0.8,30
288,Grove Academy (The),90,104,81,41.0,28.0,8.0,81.0,715.47,24157.24,74.0,10.0,8.0,12.0,2019,138507,0.41,0.02,1.7,0,2.2,102,103,102,51.682919,-0.385706,511700,199473,0,0,10,15,35,2.0,0.8222222222222222,>60
289,Holywell Primary School,90,107,45,26.0,5.0,10.0,45.0,374.08,4757.25,38.0,23.0,27.0,19.0,2019,117290,0.44,0.15,-0.1,2.5,-1.1,102,104,101,51.644275,-0.418327,509538,195126,1,3,5,19,36,2.0,0.4222222222222222,>60
290,Kingsway Infant School,60,138,60,18.0,16.0,19.0,60.0,708.56,24680.3,47.0,33.0,36.0,22.0,2019,117168,0.67,0.07,-0.9,-0.1,-0.3,104,103,104,51.688906,-0.405979,510284,200108,1,2,11,18,29,2.0,0.7833333333333333,60
291,Lanchester Community Free School *,60,121,34,0.0,0.0,0.0,34.0,0.0,0.0,27.0,23.0,48.0,23.0,2019,140954,,,,,,,,,51.662276,-0.408316,510187,197143,0,2,12,22,42,3.0,0.45,60
292,Laurance Haines School *,60,184,60,0.0,0.0,0.0,60.0,0.0,0.0,64.0,51.0,49.0,20.0,2019,143603,0.82,0.06,1.9,3.3,3.8,105,108,106,51.646977,-0.407407,510287,195443,0,3,9,21,38,2.0,1.0666666666666667,60
293,Leavesden Green JMI School and Nursery,60,165,60,29.0,20.0,11.0,60.0,579.65,1940.57,59.0,42.0,37.0,27.0,2019,117324,0.59,0.1,-2,-0.8,-2.5,105,105,104,51.69207,-0.40853,510100,200456,1,2,10,17,28,2.0,0.9833333333333333,60
294,Nascot Wood Infant & Nursery School,60,377,60,24.0,36.0,0.0,60.0,377.92,0.0,120.0,122.0,71.0,64.0,2019,117311,0.88,0.23,-0.8,0.2,0.9,108,110,109,51.670331,-0.410854,509992,198035,0,3,10,21,38,1.0,2.0,60
295,Orchard Primary School  (The) *,60,203,60,19.0,15.0,26.0,60.0,921.17,1409.84,52.0,51.0,60.0,40.0,2019,145352,0.74,0.19,0.2,1.2,3.3,105,110,108,51.680389,-0.413207,509805,199150,0,3,9,18,35,2.0,0.8666666666666667,60
296,Oxhey Wood Primary School *,60,95,60,0.0,0.0,0.0,60.0,0.0,0.0,38.0,20.0,21.0,16.0,2019,144906,0.55,0.12,1.1,4.2,1.3,104,106,103,51.62477,-0.391166,511465,192998,2,4,7,13,25,2.0,0.6333333333333333,60
297,Parkgate Infants & Nursery School,60,175,60,27.0,14.0,19.0,60.0,527.93,1233.86,51.0,54.0,41.0,29.0,2019,117162,0.64,0.05,-4.1,-3.3,-4.1,103,105,103,51.674956,-0.393443,511185,198576,0,2,10,19,36,1.0,0.85,60
298,St Anthony's Catholic Primary School **,60,112,60,0.0,0.0,0.0,60.0,0.0,0.0,54.0,19.0,16.0,23.0,2019,117495,0.74,0.26,4.5,4.9,4.1,108,110,107,51.647769,-0.420099,509407,195512,2,3,7,17,38,1.0,0.9,60
299,St Catherine of Siena Catholic Primary School **,30,127,30,0.0,0.0,0.0,30.0,0.0,0.0,41.0,39.0,38.0,9.0,2019,138288,0.72,0.06,0.8,-3.7,2.2,107,110,108,51.696414,-0.385573,511676,200974,1,1,5,13,27,2.0,1.3666666666666667,30
300,St Meryl School,30,78,30,13.0,17.0,0.0,30.0,512.1,0.0,43.0,14.0,14.0,7.0,2019,117166,0.46,0.07,0.9,2.9,-1.7,105,105,102,51.62858,-0.37719,512423,193443,0,1,8,16,25,2.0,1.4333333333333333,30
301,Watford Field School (Infant & Nursery),60,184,60,23.0,21.0,16.0,60.0,558.07,1276.83,55.0,50.0,46.0,33.0,2019,142221,,,,,,,,,51.658794,-0.396545,511010,196773,1,3,12,21,44,,0.9166666666666666,60
302,Woodhall School,30,61,30,11.0,7.0,5.0,30.0,541.08,5103.13,17.0,16.0,8.0,20.0,2019,117194,0.56,0.07,0.9,4.3,0.8,103,103,102,51.620713,-0.383826,511983,192558,0,3,5,10,23,2.0,0.5666666666666667,30
303,Watton-at-Stone Primary and Nursery School,30,49,30,14.0,14.0,2.0,30.0,612.84,2931.48,34.0,8.0,6.0,1.0,2019,117171,0.7,0.22,-0.1,1.9,-0.2,106,108,105,51.855817,-0.113877,529994,219151,0,0,0,1,8,2.0,1.1333333333333333,30
304,Oaklands Primary School,30,101,30,17.0,9.0,4.0,30.0,806.1,2051.97,31.0,32.0,24.0,14.0,2019,117261,0.83,0.13,1.8,0.3,-1.8,108,106,105,51.841527,-0.197051,524306,217417,0,0,1,7,15,2.0,1.0333333333333334,30
305,_St John's CofE Primary School,30,107,30,0.0,0.0,0.0,30.0,0.0,0.0,25.0,21.0,41.0,20.0,2019,117460,0.79,0.25,1.4,2,3.9,108,110,109,51.818394,-0.189689,524877,214857,0,3,5,13,21,2.0,0.8333333333333334,30
306,Welwyn St Mary's C of E VA Primary School **,60,142,60,0.0,0.0,0.0,60.0,0.0,0.0,70.0,29.0,28.0,15.0,2019,117490,0.66,0.23,-1,-1.9,-0.5,106,108,105,51.826582,-0.216391,523014,215722,0,0,3,7,20,1.0,1.1666666666666667,60
307,Applecroft School *,60,257,60,0.0,0.0,0.0,60.0,0.0,0.0,97.0,77.0,47.0,36.0,2019,137943,0.78,0.3,1.1,0.1,1.7,108,109,108,51.797514,-0.218351,522958,212486,0,0,6,13,26,1.0,1.6166666666666667,60
308,Commonswood Primary & Nursery School,60,148,60,28.0,32.0,0.0,60.0,847.15,0.0,78.0,32.0,20.0,18.0,2019,117378,0.72,0.2,2.9,1.7,1.2,108,107,105,51.78437,-0.177433,525816,211094,0,0,6,10,25,2.0,1.3,60
309,Creswick Primary ,60,185,60,26.0,34.0,0.0,60.0,844.91,0.0,57.0,58.0,42.0,28.0,2019,117229,0.53,0.08,-3,-2.6,-3,104,104,103,51.787498,-0.200143,524241,211403,0,3,7,16,27,2.0,0.95,60
310,Harwood Hill JMI & Nursery School,30,94,30,12.0,11.0,7.0,30.0,571.4,1532.06,24.0,20.0,26.0,24.0,2019,117227,0.71,0.04,1.4,-2.3,-2.6,108,107,104,51.815991,-0.199385,524215,214573,1,3,6,14,21,2.0,0.8,30
311,Holwell Primary School ,60,114,60,17.0,6.0,28.0,60.0,561.54,36087.7,31.0,32.0,29.0,22.0,2019,117175,0.59,0.04,-3.6,-1.5,-4.3,101,103,100,51.794121,-0.195732,524527,212147,2,4,9,16,27,2.0,0.5166666666666667,60
312,Holy Family RC Primary School **,30,38,29,0.0,0.0,0.0,29.0,0.0,0.0,18.0,8.0,6.0,6.0,2019,117481,0.76,0.1,2.9,-0.4,2.6,106,109,105,51.8106,-0.1827,525380,214002,0,2,9,16,21,2.0,0.6,30
313,Homerswood Primary & Nursery School,30,94,30,10.0,13.0,7.0,30.0,577.53,683.47,31.0,17.0,21.0,25.0,2019,117252,0.36,0.07,-1.6,-2.3,-2.3,102,102,100,51.817449,-0.202969,523964,214729,1,3,5,14,20,2.0,1.0333333333333334,30
314,Our Lady Catholic Primary (Welwyn Garden City) **,30,76,30,0.0,0.0,0.0,30.0,0.0,0.0,29.0,18.0,17.0,12.0,2019,117464,0.64,0.11,0.5,-0.1,-1.1,106,106,104,51.79202,-0.201819,524113,211903,2,3,7,16,26,3.0,0.9666666666666667,30
315,Panshanger Primary School,30,126,30,12.0,18.0,0.0,30.0,454.22,0.0,37.0,51.0,24.0,14.0,2019,117294,0.67,0.07,-0.4,0.8,-0.2,104,106,104,51.802486,-0.181895,525458,213101,0,4,9,15,24,2.0,1.2333333333333334,30
316,Peartree Primary School (Welwyn Garden City),30,86,30,11.0,15.0,4.0,30.0,734.93,583.01,24.0,14.0,22.0,26.0,2019,117172,0.38,0,-1.9,0.2,-4,100,98,98,51.795789,-0.199701,524249,212326,2,4,9,16,26,2.0,0.8,30
317,Springmead Primary School,60,76,60,20.0,14.0,10.0,60.0,1003.36,2147.74,40.0,9.0,15.0,12.0,2019,145409,0.36,0,-0.2,-8.5,-1,105,105,104,51.803015,-0.170183,526264,213180,0,2,5,14,23,4.0,0.6666666666666666,60
318,St John's VA C of E Primary (Welwyn Garden City) **,15,63,15,0.0,0.0,0.0,15.0,0.0,0.0,18.0,19.0,14.0,12.0,2019,117435,0.93,0.14,4,0.8,1,111,107,108,51.795993,-0.233159,521941,212292,0,0,1,8,27,2.0,1.2,<30
319,Swallow Dell Primary and Nursery School,60,156,60,41.0,19.0,0.0,60.0,485.67,0.0,69.0,32.0,29.0,26.0,2019,133488,0.58,0.02,-1.4,-0.6,-1.1,102,102,100,51.794995,-0.185923,525201,212261,0,4,9,14,25,2.0,1.15,60
320,Templewood Primary School,30,173,30,16.0,14.0,0.0,30.0,570.47,0.0,47.0,65.0,39.0,22.0,2019,117174,0.62,0.14,-0.8,-3.1,-1.7,107,108,106,51.809954,-0.209156,523558,213885,0,2,8,15,22,1.0,1.5666666666666667,30
321,Watchlytes School,30,87,30,10.0,17.0,3.0,30.0,651.48,736.62,26.0,23.0,22.0,16.0,2019,117348,0.52,0.07,-2.5,-2.2,-3.4,104,104,102,51.798869,-0.173048,526078,212714,0,3,7,14,24,2.0,0.8666666666666667,30
