,Full Name,PAN,APP,ALLO,NOT_DIST,NEAR,DIST,TOTAL,MAX_DIST_NS,MAX_DIST_DIST,P1,P2,P3,P4,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Latitude,Longitude,Easting,Northing,within_500m,within_1km,within_2km,within_3km,within_5km,Grade,P1/plc,PAN_bin
112,Lime Walk Primary School,30,108,30,12.0,4.0,14.0,30.0,324.23,1050.69,23.0,22.0,29.0,34.0,2019,117333,0.21,0,-0.6,-3.3,1,98,101,100,51.745779,-0.455097,506755,206360,1,5,12,20,29,2.0,0.7666666666666667,30
113,Maple Grove Primary School,30,79,30,17.0,11.0,2.0,30.0,501.52,979.81,35.0,12.0,16.0,16.0,2019,135221,0.62,0,2.5,-0.5,0.3,106,104,104,51.774243,-0.449328,507086,209534,0,3,7,11,30,2.0,1.1666666666666667,30
114,Micklem Primary School,30,74,30,12.0,7.0,9.0,30.0,695.44,2373.63,19.0,18.0,25.0,12.0,2019,117231,0.85,0.1,2.2,3.1,2,108,108,107,51.757469,-0.492558,504142,207606,0,4,8,16,30,2.0,0.6333333333333333,30
115,Nash Mills C of E Primary School **,30,96,30,0.0,0.0,0.0,30.0,0.0,0.0,29.0,25.0,14.0,28.0,2019,117418,0.59,0.07,3.4,-3.3,0.2,108,107,104,51.731642,-0.454262,506846,204789,0,2,9,12,31,2.0,0.9666666666666667,30
116,Pixies Hill Primary School,30,154,30,13.0,11.0,6.0,30.0,1183.5,606.12,50.0,48.0,29.0,27.0,2019,117256,0.86,0.21,2,0,1.7,109,110,108,51.74913,-0.502093,503503,206665,1,1,7,11,29,2.0,1.6666666666666667,30
117,Reddings Primary & Nursery School (The),30,53,30,8.0,6.0,3.0,30.0,494.08,3225.84,12.0,15.0,15.0,11.0,2019,117234,0.47,0.1,2.9,-0.8,2.5,104,106,103,51.745122,-0.450282,507089,206294,3,6,9,19,29,3.0,0.4,30
118,South Hill Primary School,60,180,60,29.0,25.0,6.0,60.0,538.55,617.66,63.0,44.0,52.0,21.0,2019,117110,0.83,0.1,-0.5,-0.7,-1.6,107,107,105,51.750121,-0.478447,505133,206809,0,2,11,22,30,2.0,1.05,60
119,St Albert the Great Catholic Primary School **,30,80,30,0.0,0.0,0.0,30.0,0.0,0.0,31.0,26.0,14.0,9.0,2019,117471,0.48,0.04,-2.6,-5.2,-3.2,102,102,101,51.747359,-0.447409,507282,206547,2,3,11,20,29,2.0,1.0333333333333334,30
120,Tudor Primary School,60,192,60,34.0,26.0,0.0,60.0,490.59,0.0,84.0,37.0,45.0,26.0,2019,117109,0.69,0.06,4.5,2.2,4.5,106,109,105,51.747106,-0.463686,506159,206495,0,2,15,23,28,2.0,1.4,60
121,Two Waters Primary School,30,157,30,14.0,16.0,0.0,30.0,364.77,0.0,50.0,38.0,40.0,29.0,2019,117108,0.77,0.23,1.2,0,-2.4,110,107,105,51.733002,-0.473208,505534,204913,0,0,6,15,30,1.0,1.6666666666666667,30
