Full Name,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Grade,%exp_norm,%high_norm,norm_%,READ_norm,WRIT_norm,MAT_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,appl/plc,weightedPref,log_WP,%exp_norm,%high_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,READ_norm,WRIT_norm,MAT_norm,pred_WP,resid_WP,pred_log_WP,resid_log_WP,pca_1,pca,pca_2,Latitude,Longitude,Easting,Northing
Aldbury C of E Primary & Nursery School,2020,117382,0.71,0.29,-0.8,5.7,2.8,104,109,108,2,0.232672739,1.802453675,1.136942131,-0.581790866,0.762273249,1.028395528,-0.490786151,2.646129744,1.279560933,3.8,2.733333333,1.005521866,0.232672739,1.802453675,-0.490786151,2.646129744,1.279560933,-0.581790866,0.762273249,1.028395528,3.024916741,-0.291583408,1.043335201,-0.037813335,-2.063285464,2.063285464,2.152338588,51.803223,-0.602044,496488,212544
Ashwell Primary School,2019,117084,0.82,0.23,-1.3,-0.7,-0.7,107,108,107,2,0.957885596,1.132108323,1.167594368,0.443602416,0.421586623,0.670835944,-0.714704181,-0.258309679,-0.213412968,2,2.4,0.875468737,0.957885596,1.132108323,-0.714704181,-0.258309679,-0.213412968,0.443602416,0.421586623,0.670835944,2.826432061,-0.426432061,0.96453258,-0.089063843,-0.960410227,0.960410227,-0.946767409,52.039996,-0.153463,526748,239564
Ashwell Primary School,2018,117084,0.67,0.11,0.9,-1.9,-2.9,108,105,103,2,-0.031041027,-0.208582382,-0.133867826,0.785400177,-0.600473254,-0.759402392,0.270535151,-0.802892071,-1.151853705,1.766666667,2.033333333,0.709676483,-0.031041027,-0.208582382,0.270535151,-0.802892071,-1.151853705,0.785400177,-0.600473254,-0.759402392,2.507699761,-0.474366428,0.837989109,-0.128312626,0.810617944,-0.810617944,-0.931842293,52.039996,-0.153463,526748,239564
Ashwell Primary School,2020,117084,0.9,0.27,2.4,-1.1,0.6,111,110,109,2,1.485313128,1.579005224,1.711909694,1.810793459,1.102959875,1.385955112,0.942289242,-0.439837143,0.341120196,1.433333333,1.833333333,0.606135804,1.485313128,1.579005224,0.942289242,-0.439837143,0.341120196,1.810793459,1.102959875,1.385955112,3.210602424,-1.37726909,1.117056348,-0.510920544,-3.095043381,3.095043381,-1.45968117,52.039996,-0.153463,526748,239564
Hartsfield JMI School,2019,117376,0.76,0.17,-1.3,-0.3,-1.1,107,106,106,2,0.562314947,0.46176297,0.572110568,0.443602416,-0.259786629,0.31327636,-0.714704181,-0.076782215,-0.384038556,2.15,2.4,0.875468737,0.562314947,0.46176297,-0.714704181,-0.076782215,-0.384038556,0.443602416,-0.259786629,0.31327636,2.683291782,-0.283291782,0.907702859,-0.032234121,-0.165054792,0.165054792,-0.55605177,51.990428,-0.184912,524729,233997
Hartsfield JMI School,2018,117376,0.8,0.07,1.9,-2.2,0,108,107,106,2,0.826028713,-0.655479283,0.095279011,0.785400177,0.080899997,0.31327636,0.718371212,-0.939037669,0.085181813,1.9,2.4,0.875468737,0.826028713,-0.655479283,0.718371212,-0.939037669,0.085181813,0.785400177,0.080899997,0.31327636,2.763365322,-0.363365322,0.939493749,-0.064025012,-0.609981445,0.609981445,-1.023250537,51.990428,-0.184912,524729,233997
Hartsfield JMI School,2020,117376,0.8,0.12,0,-0.9,0.1,106,107,107,2,0.826028713,-0.096858157,0.407357853,0.101804655,0.080899997,0.670835944,-0.132517303,-0.349073411,0.12783821,1.883333333,2.483333333,0.909601744,0.826028713,-0.096858157,-0.132517303,-0.349073411,0.12783821,0.101804655,0.080899997,0.670835944,2.750699991,-0.267366657,0.934465345,-0.024863601,-0.539606844,0.539606844,-0.545754279,51.990428,-0.184912,524729,233997
St Mary's Church of England (VC) Infant (Baldock),2019,117385,0.53,0.03,-1.2,-1.9,-3,105,105,102,2,-0.954039208,-1.102376185,-1.148835415,-0.239993105,-0.600473254,-1.116961976,-0.669920575,-0.802892071,-1.194510102,2.25,2.433333333,0.889262059,-0.954039208,-1.102376185,-0.669920575,-0.802892071,-1.194510102,-0.239993105,-0.600473254,-1.116961976,2.233919615,0.199413718,0.729292594,0.159969465,2.33187058,-2.33187058,-0.556055995,51.981225,-0.193424,524170,232959
St Mary's Church of England (VC) Infant (Baldock),2018,117385,0.64,0.08,-1.1,-0.1,-1.3,104,106,104,2,-0.228826351,-0.543755058,-0.431609726,-0.581790866,-0.259786629,-0.401842808,-0.625136969,0.013981517,-0.469351351,2.35,2.8,1.029619417,-0.228826351,-0.543755058,-0.625136969,0.013981517,-0.469351351,-0.581790866,-0.259786629,-0.401842808,2.451522151,0.348477849,0.815685408,0.213934009,1.122767449,-1.122767449,0.124656635,51.981225,-0.193424,524170,232959
St Mary's Church of England (VC) Infant (Baldock),2020,117385,0.41,0.05,-2.6,-1.5,-2.8,103,106,102,2,-1.745180506,-0.878927734,-1.465982257,-0.923588627,-0.259786629,-1.116961976,-1.29689106,-0.621364607,-1.109197308,2.166666667,2.383333333,0.868500068,-1.745180506,-0.878927734,-1.29689106,-0.621364607,-1.109197308,-0.923588627,-0.259786629,-1.116961976,2.143559778,0.239773556,0.693417826,0.175082242,2.83395279,-2.83395279,-0.249733549,51.981225,-0.193424,524170,232959
